obs,VehII,Vehiculos
1979M01,6355952,6355952
1979M02,6404551,6404551
1979M03,6439224,6439224
1979M04,6488098,6488098
1979M05,6533269,6533269
1979M06,6591304,6591304
1979M07,6641388,6641388
1979M08,6688137,6688137
1979M09,6725986,6725986
1979M10,6765525,6765525
1979M11,6802975,6802975
1979M12,6854204,6854204
1980M01,6883045,6883045
1980M02,6913641,6913641
1980M03,6951833,6951833
1980M04,6997464,6997464
1980M05,7039896,7039896
1980M06,7091012,7091012
1980M07,7128839,7128839
1980M08,7175750,7175750
1980M09,7207641,7207641
1980M10,7247266,7247266
1980M11,7299404,7299404
1980M12,7342365,7342365
1981M01,7382035,7382035
1981M02,7411232,7411232
1981M03,7441012,7441012
1981M04,7471046,7471046
1981M05,7510192,7510192
1981M06,7550192,7550192
1981M07,7584867,7584867
1981M08,7623997,7623997
1981M09,7647925,7647925
1981M10,7673249,7673249
1981M11,7701395,7701395
1981M12,7731039,7731039
1982M01,7768849,7768849
1982M02,7799123,7799123
1982M03,7828928,7828928
1982M04,7867090,7867090
1982M05,7901565,7901565
1982M06,7937808,7937808
1982M07,7977183,7977183
1982M08,8024021,8024021
1982M09,8048806,8048806
1982M10,8074687,8074687
1982M11,8111515,8111515
1982M12,8147865,8147865
1983M01,8179574,8179574
1983M02,8209584,8209584
1983M03,8233564,8233564
1983M04,8272773,8272773
1983M05,8301588,8301588
1983M06,8336137,8336137
1983M07,8368048,8368048
1983M08,8406677,8406677
1983M09,8433714,8433714
1983M10,8453436,8453436
1983M11,8483967,8483967
1983M12,8510666,8510666
1984M01,8539599,8539599
1984M02,8562325,8562325
1984M03,8583837,8583837
1984M04,8614758,8614758
1984M05,8654361,8654361
1984M06,8692605,8692605
1984M07,8724154,8724154
1984M08,8770212,8770212
1984M09,8799917,8799917
1984M10,8819684,8819684
1984M11,8849301,8849301
1984M12,8874442,8874442
1985M01,8903465,8903465
1985M02,8926066,8926066
1985M03,8969540,8969540
1985M04,9011954,9011954
1985M05,9042005,9042005
1985M06,9074320,9074320
1985M07,9131829,9131829
1985M08,9155811,9155811
1985M09,9176852,9176852
1985M10,9217870,9217870
1985M11,9251336,9251336
1985M12,9273710,9273710
1986M01,NA,9280481
1986M02,NA,9300571
1986M03,NA,9338963
1986M04,NA,9375445
1986M05,NA,9420058
1986M06,NA,9473099
1986M07,NA,9542871
1986M08,NA,9574230
1986M09,NA,9604842
1986M10,NA,9657247
1986M11,NA,9703074
1986M12,NA,9643448
1987M01,NA,9674062
1987M02,NA,9718877
1987M03,NA,9775591
1987M04,NA,9837685
1987M05,NA,9891516
1987M06,NA,9950035
1987M07,NA,10044499
1987M08,NA,10085152
1987M09,NA,10119465
1987M10,NA,10176308
1987M11,NA,10227205
1987M12,NA,10218526
1988M01,NA,10278005
1988M02,NA,10333526
1988M03,NA,10407487
1988M04,NA,10457127
1988M05,NA,10522670
1988M06,NA,10592147
1988M07,NA,10669952
1988M08,NA,10716422
1988M09,NA,10749778
1988M10,NA,10799710
1988M11,NA,10845871
1988M12,NA,10787424
1989M01,NA,10848479
1989M02,NA,10913400
1989M03,NA,10984230
1989M04,NA,11045301
1989M05,NA,11112323
1989M06,NA,11196130
1989M07,NA,11277252
1989M08,NA,11320053
1989M09,NA,11357412
1989M10,NA,11412417
1989M11,NA,11462031
1989M12,NA,11467727
1990M01,NA,11527810
1990M02,NA,11584021
1990M03,NA,11652842
1990M04,NA,11716118
1990M05,NA,11776193
1990M06,NA,11833524
