obs,PASAJEROS
1969M01,612
1969M02,582.6
1969M03,750.3
1969M04,887.2
1969M05,926.4
1969M06,955.9
1969M07,1124.7
1969M08,1188
1969M09,1151.7
1969M10,1026.7
1969M11,748.8
1969M12,786.2
1970M01,763.3
1970M02,748.6
1970M03,944.6
1970M04,1016.3
1970M05,1088.2
1970M06,1105.3
1970M07,1314.3
1970M08,1380.2
1970M09,1345.8
1970M10,1245.9
1970M11,931.7
1970M12,922.1
1971M01,959
1971M02,916.1
1971M03,1113.8
1971M04,1324.3
1971M05,1293.9
1971M06,1319.8
1971M07,1538.7
1971M08,1539.9
1971M09,1539.8
1971M10,1412.8
1971M11,1058
1971M12,1102.9
1972M01,1078.4
1972M02,1050.4
1972M03,1294.5
1972M04,1442
1972M05,1482.5
1972M06,1498.4
1972M07,1814
1972M08,1841.3
1972M09,1852.4
1972M10,1671.9
1972M11,1289.9
1972M12,1319.7
1973M01,1278.7
1973M02,1210
1973M03,1438.9
1973M04,1732.8
1973M05,1685.2
1973M06,1757
1973M07,2107.6
1973M08,2117.7
1973M09,2053.9
1973M10,1858.1
1973M11,1481.7
1973M12,1550.5
1974M01,1468.3
1974M02,1363.4
1974M03,1602.2
1974M04,1809.1
1974M05,1661
1974M06,1775
1974M07,2062.1
1974M08,2198.2
1974M09,2069.1
1974M10,1810.1
1974M11,1458.2
1974M12,1485.6
1975M01,1483.7
1975M02,1401.1
1975M03,1794.3
1975M04,1804.8
1975M05,1860.8
1975M06,1943.9
1975M07,2309.3
1975M08,2396.2
1975M09,2237.1
1975M10,1872.5
1975M11,1489.1
1975M12,1720.3
1976M01,1627.48
1976M02,1527.61
1976M03,1821.03
1976M04,2121.63
1976M05,1972.92
1976M06,2061.96
1976M07,2455.81
1976M08,2524.9
1976M09,2274.7
1976M10,2004
1976M11,1680.2
1976M12,1840.4
1977M01,1810.14
1977M02,1687.14
1977M03,2058.66
1977M04,2229.19
1977M05,2212.76
1977M06,2251.54
1977M07,2843.29
1977M08,2813.03
1977M09,2710.37
1977M10,2462.28
1977M11,1687.89
1977M12,2030.5
1978M01,1994.72
1978M02,1839.91
1978M03,2433.9
1978M04,2440.62
1978M05,2616.77
1978M06,2649.29
1978M07,3235.63
1978M08,3209.89
1978M09,3140.8
1978M10,2892.23
1978M11,2248.18
1978M12,2323.52
1979M01,2262.09
1979M02,1848.13
1979M03,2421.59
1979M04,2895.3
1979M05,2722.32
1979M06,2794.29
1979M07,3287.03
1979M08,3273.49
1979M09,3130.55
1979M10,2792.6
1979M11,2225.56
1979M12,2333.21
1980M01,2270.8
1980M02,2082.7
1980M03,2454.31
1980M04,2574.15
1980M05,2531.95
1980M06,2631.84
1980M07,3067.07
1980M08,3040.1
1980M09,2897.14
1980M10,2544.12
1980M11,2067.31
1980M12,2174.71
1981M01,1948.12
1981M02,1801.78
1981M03,2177.49
1981M04,2583.83
1981M05,2481.92
1981M06,2598.64
1981M07,2998.87
1981M08,2978.98
1981M09,2914.67
1981M10,2650.18
1981M11,2081
1981M12,2167.22
1982M01,2061.31
1982M02,1912.16
1982M03,2342.09
1982M04,2595.93
1982M05,2536.36
1982M06,2525.19
1982M07,3001.45
1982M08,2938.46
1982M09,2810.81
1982M10,2462.72
1982M11,2064.9
1982M12,2211.12
1983M01,2087.19
1983M02,1864.36
1983M03,2407.85
1983M04,2405.09
1983M05,2493.59
1983M06,2562.99
1983M07,3010.91
1983M08,2866.17
1983M09,2875
1983M10,2626.71
1983M11,2052.47
1983M12,2023.31
1984M01,2004.4
1984M02,1842.27
1984M03,2248.37
1984M04,2563.89
1984M05,2542.58
1984M06,2456.09
1984M07,2763.28
1984M08,2835.71
1984M09,2791.92
1984M10,2662.26
1984M11,2107.91
1984M12,2109.04
1985M01,2027.31
1985M02,1908.53
1985M03,2318.08
1985M04,2463.12
1985M05,2508.54
1985M06,2636.6
1985M07,3050.72
1985M08,2915.46
1985M09,2963.83
1985M10,2679.18
1985M11,2048.87
1985M12,2036.88
1986M01,2091.01
1986M02,1946.49
1986M03,2424.99
1986M04,2503.31
1986M05,2581.73
1986M06,2707.21
1986M07,3111.63
1986M08,3082.25
1986M09,3168.76
1986M10,2870.84
1986M11,2360.41
1986M12,2375.3
1987M01,2219.88
1987M02,2148.05
1987M03,2462.77
1987M04,2795.94
1987M05,2837.67
1987M06,2955.13
1987M07,3349.55
1987M08,3285.54
1987M09,3365.21
1987M10,3136.52
1987M11,2623.58
1987M12,2511.6
1988M01,2507.26
1988M02,2485.42
1988M03,2959.98
1988M04,3046.44
1988M05,3154.33
1988M06,3228.17
1988M07,3607.73
1988M08,3468.36
1988M09,3652.8
1988M10,3421.74
1988M11,2884.24
1988M12,2751.45
1989M01,2581.45
1989M02,2468.15
1989M03,3228.13
1989M04,3269.2
1989M05,3555.45
1989M06,3547.32
1989M07,3992.22
1989M08,3780.44
1989M09,3972.92
1989M10,3680.04
1989M11,3105.62
1989M12,3046.05
1990M01,3043.46
1990M02,2904.48
1990M03,3498.26
1990M04,3728.05
1990M05,3736.96
1990M06,3883.24
1990M07,4262.37
1990M08,4080.81
1990M09,4217.78
1990M10,3917.94
1990M11,3266.34
1990M12,3151.57
1991M01,2943.22
1991M02,2419.54
1991M03,3018.61
1991M04,3551.37
1991M05,3466.69
1991M06,3800.68
1991M07,4140.79
1991M08,4171.32
1991M09,4303.7
1991M10,4051.62
1991M11,3458.92
1991M12,3320.5
1992M01,3262
1992M02,3152
1992M03,3725
1992M04,4077
1992M05,4113
1992M06,4285
1992M07,4743
1992M08,4794
1992M09,4908
1992M10,4262
1992M11,3330
1992M12,3387
1993M01,3110.8
1993M02,3000.2
1993M03,3606.5
1993M04,3931.5
1993M05,3894.5
1993M06,3984.9
1993M07,4544.8
1993M08,4492.9
1993M09,4383.5
1993M10,4067.6
1993M11,3476.3
1993M12,3466.8
1994M01,3259.5
1994M02,3224.1
1994M03,4048.5
1994M04,4123.8
1994M05,4383.6
1994M06,4547.5
1994M07,5032.2
1994M08,4867.3
1994M09,5032.6
1994M10,4635.1
1994M11,3878.8
1994M12,4006
1995M01,3933
1995M02,3778.8
1995M03,4674.7
1995M04,5170.1
1995M05,5084.7
1995M06,5349.8
1995M07,5782.6
1995M08,5541.1
1995M09,5723.6
1995M10,5381.8
1995M11,4411
1995M12,4570
1996M01,4470.7
1996M02,4475
1996M03,5402.9
1996M04,5571.1
1996M05,5828.9
1996M06,6027.7
1996M07,6535.2
1996M08,6529.7
1996M09,6580.4
