obs,PERSONAL
1992M01,83292
1992M02,87867
1992M03,91017
1992M04,103506
1992M05,124616
1992M06,131396
1992M07,138261
1992M08,139864
1992M09,134179
1992M10,117873
1992M11,87276
1992M12,87829
1993M01,86389
1993M02,88787
1993M03,90506
1993M04,102851
1993M05,116220
1993M06,125063
1993M07,135212
1993M08,137093
1993M09,131218
1993M10,116786
1993M11,85992
1993M12,82152
1994M01,84056
1994M02,85528
1994M03,91690
1994M04,103001
1994M05,121455
1994M06,128423
1994M07,139378
1994M08,139953
1994M09,134623
1994M10,119065
1994M11,87300
1994M12,85647
1995M01,83875
1995M02,87556
1995M03,91584
1995M04,105608
1995M05,123470
1995M06,130801
1995M07,139413
1995M08,141343
1995M09,135731
1995M10,119149
1995M11,86859
1995M12,85366
1996M01,84443
1996M02,88281
1996M03,93808
1996M04,105690
1996M05,123848
1996M06,131006
1996M07,139462
1996M08,142004
1996M09,135545
1996M10,120162
1996M11,88480
1996M12,85948
